ts,cpu_pct,rss_mb,threads,disk_read_mb_s,disk_write_mb_s,fs_free_gb,wal_mb,duckdb_mb,records_total,ingest_lag_mb,wal_depth
1790067049.648867959,114.7,287,104,0.00,7.46,147,94,30,387885,1.0,25
1790067050.713983061,134.3,142,104,0.00,13.24,147,96,30,396250,2.1,45
1790067051.767930942,121.4,161,104,0.00,7.52,147,99,30,404845,1.6,100
1790067052.822423139,122.3,173,104,0.00,7.49,147,101,30,413155,1.5,35
1790067053.878598959,119.3,180,104,0.00,7.34,147,103,30,421290,0.7,45
1790067054.941421987,112.0,184,104,0.00,7.11,147,104,30,429470,0.9,55
1790067056.006434518,113.6,191,104,0.00,7.23,147,107,30,437930,1.2,15
1790067057.076150276,122.5,196,104,0.00,7.79,147,109,30,446100,1.3,0
1790067058.130351947,121.4,200,104,0.00,7.58,147,111,30,454280,0.7,35
1790067059.186992231,118.3,205,104,0.00,7.48,147,112,30,462470,0.8,40
1790067060.255158683,132.9,220,104,0.00,7.45,147,115,30,471130,1.9,30
1790067061.317852071,133.6,171,104,0.00,14.27,147,117,30,479960,1.6,55
1790067062.366152008,121.1,177,104,0.00,7.44,147,119,30,488255,1.3,25
1790067063.428933502,121.4,191,104,0.00,7.76,147,121,30,497220,1.5,65
1790067064.488049329,124.6,203,104,0.00,7.37,147,123,30,505405,1.4,120
1790067065.545370302,123.9,213,104,0.00,7.56,147,125,30,513995,0.7,10
1790067066.605878870,118.8,221,104,0.00,7.47,147,127,30,522865,0.9,75
1790067067.665810134,117.9,229,104,0.00,7.80,147,129,30,531940,1.0,5
1790067068.728011881,122.4,232,104,0.00,7.84,147,131,30,541010,1.0,85
1790067069.785471047,144.7,284,104,0.00,7.67,147,134,30,549490,1.9,45
1790067070.832619159,247.3,301,104,0.00,28.07,147,136,49,559630,3.4,115
1790067071.898794491,157.6,321,104,0.00,10.46,147,138,49,568760,1.6,85
1790067072.953946184,129.8,341,104,0.00,8.85,147,141,49,578265,1.2,0
1790067074.019464205,130.5,350,104,0.00,8.78,147,143,49,588265,1.1,25
1790067075.072274844,122.5,361,104,0.00,8.20,147,145,49,597495,1.0,130
1790067076.130683271,115.3,370,104,0.00,7.44,147,147,49,605955,1.0,50
1790067077.188399124,116.3,374,104,0.00,8.11,147,149,49,614735,1.3,100
1790067078.249974687,125.3,383,104,0.00,7.53,147,151,49,623280,1.4,30
1790067079.304034624,128.1,402,104,0.00,13.12,147,154,49,632275,1.6,65
1790067080.372173769,132.9,187,104,0.00,8.02,147,156,49,640680,0.9,70
1790067081.425653973,115.8,199,104,0.00,7.80,147,158,49,649175,1.0,40
1790067082.495392043,120.6,211,104,0.00,7.88,147,160,49,658115,1.1,55
1790067083.557475863,118.6,220,104,0.00,8.91,147,162,49,666665,1.1,45
1790067084.627076983,118.7,231,104,0.00,8.52,147,164,49,674990,1.2,125
1790067085.688662148,165.8,256,104,0.00,7.92,147,166,49,683995,1.5,85
1790067086.755117710,123.8,267,104,0.00,7.70,147,168,49,692420,1.6,45
1790067087.814102081,113.3,278,104,0.00,7.59,147,170,49,700730,0.8,100
1790067088.873125318,143.5,183,104,0.00,15.15,147,172,49,709145,1.9,55
1790067089.926735347,125.3,204,104,0.00,8.40,147,174,49,717935,1.4,150
1790067090.975401698,122.1,209,104,0.00,7.61,147,176,49,726270,1.3,45
1790067092.026541212,122.7,219,104,0.00,7.79,147,179,49,735175,1.4,65
1790067093.086618689,124.5,231,104,0.06,7.82,147,181,49,744260,1.7,60
1790067094.143856075,122.0,241,104,0.00,8.39,147,183,49,753050,1.5,75
1790067095.200903465,122.0,251,104,0.07,8.10,147,185,49,761955,1.6,50
1790067096.257792141,122.1,255,104,0.10,8.21,147,187,49,772270,1.8,50
1790067097.316852840,125.6,262,104,0.00,7.50,147,190,49,780805,1.6,110
1790067098.375948030,336.1,308,104,0.00,6.06,147,192,60,789625,3.8,0
1790067099.433814702,180.6,331,104,0.00,30.82,147,194,61,798900,3.0,130
1790067100.489190502,121.3,343,104,0.00,8.38,147,196,61,807580,1.6,50
1790067101.548283977,122.7,352,104,0.00,7.58,147,198,61,815850,1.4,15
1790067102.599321184,124.6,359,104,0.00,7.41,147,200,61,824455,1.5,80
1790067103.654804809,125.1,366,104,0.00,7.71,147,202,61,833485,1.7,100
1790067104.707639735,123.5,374,104,0.00,7.85,147,205,61,842450,0.8,40
1790067105.772690704,115.5,376,104,0.00,7.38,147,207,61,850830,0.9,55
1790067106.836237082,131.6,386,104,0.00,8.15,147,209,61,861630,2.5,5
1790067107.902514237,135.0,405,104,0.00,14.66,147,212,61,872025,1.8,125
1790067108.962023181,135.0,407,104,0.00,8.73,147,214,61,881550,1.2,55
1790067110.025978521,133.5,416,104,0.00,8.34,147,216,61,891390,1.0,40
1790067111.083624124,124.8,421,104,0.00,8.24,147,219,61,901520,0.9,5
1790067112.140525611,121.1,425,104,0.00,8.05,147,221,61,910680,1.8,70
1790067113.195058142,125.2,431,104,0.00,7.96,147,223,61,919630,1.8,80
1790067114.247510949,123.5,437,104,0.00,8.37,147,226,61,929695,1.9,20
1790067115.305784994,122.8,443,104,0.00,8.32,147,228,61,939490,1.7,60
1790067116.358816842,246.9,329,104,0.00,6.36,147,231,64,950150,4.3,80
1790067117.415705850,191.1,358,104,0.00,33.22,147,233,71,961950,3.9,60
1790067118.479464212,170.2,376,104,0.00,10.33,147,236,71,973620,2.8,90
1790067119.534213551,159.3,387,104,0.00,8.47,147,239,71,985010,1.6,15
1790067120.589536104,134.6,399,104,0.00,9.88,147,242,71,996345,2.5,80
1790067121.647411178,133.3,404,104,0.00,7.71,147,244,71,1006045,1.3,55
1790067122.706965533,127.4,412,104,0.00,7.84,147,246,71,1014955,1.1,5
1790067123.770306527,172.1,219,104,0.00,15.10,147,249,71,1024160,2.2,80
