ts,active_workers,requests,records,bytes,errors,p50_ms,p95_ms,p99_ms
1790054566.7,40,591,2955,744309,0,68.4,72.8,75.9
1790054567.7,40,563,2815,709428,0,70.3,76.4,78.1
1790054568.7,40,575,2875,724648,0,68.7,73.1,74.8
1790054569.7,40,558,2790,702779,0,71.4,80.0,83.4
1790054570.7,40,587,2935,739227,0,68.5,72.6,73.8
1790054571.7,40,566,2830,713116,0,70.2,74.8,76.7
1790054572.7,40,591,2955,744889,0,68.0,72.6,75.3
1790054573.7,40,563,2815,708917,0,71.1,75.6,77.5
1790054574.7,40,580,2900,730705,0,68.2,72.6,74.3
1790054575.7,40,576,2880,725020,0,70.4,76.3,79.4
1790054576.7,48,579,2895,729536,0,68.8,73.8,74.8
1790054577.7,48,654,3270,824129,0,72.3,83.3,88.1
1790054578.7,48,701,3505,882900,0,68.4,73.6,75.5
1790054579.7,48,679,3395,856111,0,70.4,75.6,77.9
1790054580.8,48,706,3530,889587,0,67.9,72.5,74.3
1790054581.8,48,689,3445,868450,0,69.4,75.1,77.4
1790054582.8,48,693,3465,873186,0,69.3,74.7,77.0
1790054583.8,48,682,3410,859608,0,69.7,74.8,76.9
1790054584.8,48,689,3445,868328,0,68.9,75.1,77.9
1790054585.8,48,692,3460,871072,0,69.3,75.7,78.1
1790054586.8,48,683,3415,859716,0,70.5,77.5,80.6
1790054587.8,48,17,85,21347,0,68.9,74.2,74.2
1790054588.8,48,384,1872,484097,0,68.2,1497.4,1498.6
1790054589.8,48,693,3465,872690,0,69.0,74.7,77.4
1790054590.8,48,681,3405,857467,0,70.4,77.8,79.8
1790054591.8,48,690,3450,869746,0,68.7,72.9,75.5
1790054592.8,48,693,3465,872934,0,69.6,74.8,77.4
1790054593.8,48,699,3495,880992,0,68.4,73.5,75.4
1790054594.8,48,680,3400,856489,0,70.8,76.9,78.9
1790054595.8,48,695,3475,874846,0,68.8,73.5,75.3
1790054596.8,56,680,3400,856481,0,71.0,76.2,77.9
1790054597.8,56,814,4070,1025264,0,69.0,73.5,75.7
1790054598.8,56,791,3955,996245,0,70.7,76.2,78.1
1790054599.8,56,817,4085,1029865,0,68.5,73.0,74.3
1790054600.8,56,787,3935,990246,0,71.2,77.0,78.6
1790054601.8,56,818,4090,1030956,0,68.5,73.1,74.7
1790054602.8,56,773,3865,973686,0,71.6,78.5,81.5
1790054603.8,56,815,4075,1026436,0,69.0,74.4,76.0
1790054604.8,56,787,3935,991651,0,70.9,77.2,79.6
1790054605.8,56,827,4135,1042558,0,68.1,72.5,74.0
1790054606.8,56,783,3915,985702,0,70.6,77.4,80.9
1790054607.8,56,815,4075,1026637,0,68.8,75.0,78.3
1790054608.8,56,797,3985,1003526,0,70.3,76.2,78.5
1790054609.8,56,816,4080,1028654,0,68.1,73.3,76.1
1790054610.8,56,795,3975,1002181,0,70.5,76.5,84.1
1790054611.8,56,802,4010,1010400,0,69.4,75.3,77.6
1790054612.8,56,788,3940,993133,0,69.7,78.0,83.8
1790054613.8,56,805,4025,1014093,0,69.7,76.2,79.0
1790054614.8,56,793,3965,998523,0,70.5,77.8,81.6
1790054615.8,56,806,4030,1015375,0,69.6,75.5,78.0
1790054616.8,64,809,4045,1018732,0,68.9,74.5,78.4
1790054617.9,64,909,4545,1146370,0,70.1,77.8,81.8
1790054618.9,64,921,4605,1160777,0,69.1,75.1,78.0
1790054619.9,64,909,4545,1144222,0,70.3,77.7,81.1
1790054620.9,64,921,4605,1160116,0,69.0,74.7,77.5
1790054621.9,64,910,4550,1146413,0,70.3,76.1,78.3
1790054622.9,64,931,4655,1172927,0,68.7,74.1,76.2
1790054623.9,64,875,4375,1102934,0,72.7,84.6,92.3
1790054624.9,64,922,4610,1161636,0,68.6,75.3,82.4
1790054625.9,64,887,4435,1117385,0,71.8,84.6,92.7
1790054626.9,64,924,4620,1164755,0,68.9,76.2,81.2
1790054627.9,64,904,4520,1138690,0,70.5,77.1,82.4
1790054628.9,64,928,4640,1169179,0,68.2,75.5,80.9
1790054629.9,64,896,4480,1128917,0,70.9,78.1,85.5
1790054630.9,64,910,4550,1146689,0,70.0,81.0,89.3
1790054631.9,64,922,4610,1162799,0,68.8,73.9,75.3
1790054632.9,64,908,4540,1143627,0,70.6,76.9,79.2
1790054633.9,64,935,4675,1177136,0,68.3,72.4,73.9
1790054634.9,64,896,4480,1127712,0,70.8,77.1,79.7
1790054635.9,64,927,4635,1166881,0,69.1,73.9,75.6
1790054636.9,64,881,4405,1111246,0,71.2,78.7,90.3
1790054637.9,64,937,4685,1180727,0,68.4,78.7,89.3
1790054638.9,64,904,4520,1139228,0,70.6,77.1,78.9
1790054639.9,64,924,4620,1164009,0,68.6,77.8,84.1
1790054640.9,64,885,4425,1115568,0,71.1,82.4,90.4
1790054641.9,64,917,4585,1155062,0,69.0,79.8,86.8
1790054642.9,64,907,4535,1143641,0,70.3,77.0,80.0
1790054643.9,64,905,4525,1139911,0,69.7,78.3,86.5
1790054644.9,64,905,4525,1140442,0,69.0,79.0,88.7
1790054645.9,64,890,4450,1121720,0,71.5,86.4,93.6
1790054646.9,64,926,4630,1167306,0,68.6,75.7,79.2
1790054647.9,64,896,4480,1128541,0,70.8,80.8,88.7
1790054648.9,64,932,4660,1174494,0,68.1,74.0,78.3
1790054649.9,64,896,4480,1127946,0,71.3,77.6,80.5
1790054650.9,64,932,4660,1174807,0,68.2,73.1,75.2
1790054651.9,64,911,4555,1147400,0,70.0,76.2,78.6
1790054652.9,64,942,4710,1186403,0,67.9,72.6,75.6
1790054653.9,64,899,4495,1131873,0,71.2,77.7,79.9
1790054654.9,64,935,4675,1178878,0,68.1,73.8,75.3
1790054655.9,64,882,4410,1111541,0,71.8,77.4,80.5
1790054656.9,64,930,4650,1171256,0,68.7,74.5,77.6
